name,brand,cuisine,lat,lon,state,source
,,,-33.319372,115.715789,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Eaton Fish & Chips,,fish,-33.319428,115.715874,Western Australia,OpenStreetMap amenity=fast_food via Overpass
,,,-33.319401,115.716234,Western Australia,OpenStreetMap amenity=fast_food via Overpass
,,,-33.326132,115.640505,Western Australia,OpenStreetMap amenity=fast_food via Overpass
,,kebab,-33.337018,115.659119,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Eagle Boys Pizza,,pizza,-33.336505,115.663697,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Subway,Subway,sandwich,-33.359795,115.643995,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Noodlers Noodle Bar,,asian,-33.360173,115.643646,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Chicken Treat,Chicken Treat,chicken,-33.33596,115.646714,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Pappas Pizzas,,italian;pizza,-32.045268,115.952431,Western Australia,OpenStreetMap amenity=fast_food via Overpass
KFC,KFC,chicken,-32.045512,115.952063,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Hungry Jack's,Hungry Jack's,burger,-32.046189,115.95281,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Chicken Treat,Chicken Treat,chicken,-33.952235,115.073746,Western Australia,OpenStreetMap amenity=fast_food via Overpass
The Tuckshop,,coffee_shop,-33.953141,115.073649,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Nannup Fish and Chips,,fish_and_chips,-33.978873,115.76431,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Domino's,Domino's,pizza,-32.285423,115.739501,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Bayside Pizza,,pizza,-32.305629,115.719792,Western Australia,OpenStreetMap amenity=fast_food via Overpass
The Bent Chip,,fish_and_chips,-32.305937,115.719718,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Subway,Subway,sandwich,-32.087114,115.91744,Western Australia,OpenStreetMap amenity=fast_food via Overpass
George's Kebabs,,kebab;burger,-32.004231,115.893541,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Subway,Subway,sandwich,-32.346156,115.76245,Western Australia,OpenStreetMap amenity=fast_food via Overpass
KFC,KFC,chicken,-32.347767,115.76175,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Yibbida Yibbida,,fish_and_chips,-32.366333,115.755789,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Xpress Kebabs & Pizza,,kebab,-32.367244,115.755444,Western Australia,OpenStreetMap amenity=fast_food via Overpass
,,chinese,-32.366272,115.75582,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Red Rooster,Red Rooster,chicken,-32.366197,115.755877,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Domino's,Domino's,pizza,-32.089327,115.942427,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Subway,Subway,sandwich,-32.08982,115.941657,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Domino's,Domino's,pizza,-32.087326,115.91752,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Hungry Jack's,Hungry Jack's,burger,-32.331101,115.820622,Western Australia,OpenStreetMap amenity=fast_food via Overpass
In Ya Basket Fish & Chips,,fish_and_chips,-32.338081,115.80307,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Hood Burger,,,-32.020198,115.835354,Western Australia,OpenStreetMap amenity=fast_food via Overpass
,,fish_and_chips,-32.08906,115.791054,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Asha's Kitchen,,indian,-32.04981,115.898337,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Ramen Boy,,japanese,-32.057045,115.881079,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Subway,Subway,sandwich,-32.056438,115.880589,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Kawa Kebabs,,kebab,-32.056999,115.881043,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Southlands Fish & Chips,,fish_and_chips,-32.057183,115.881023,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Sharkeys Fish & Chips,,fish_and_chips,-32.523942,115.717491,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Kingfisher Fish & Chips,,,-32.031945,115.90193,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Via,,pizza,-32.032066,115.902143,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Foreshore Fish & Chips,,fish_and_chips,-32.533169,115.719327,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Subway,Subway,sandwich,-32.531798,115.719982,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Willo's Fish & Chips,,fish_and_chips,-32.049976,115.898102,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Bob Jo,,korean; fried_chicken,-32.049809,115.898624,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Leeming Park Chinese Take Away,,chinese,-32.074457,115.879635,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Canning Vale Chinese Takeaway,,chinese,-32.07396,115.912725,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Waratah Fish 'N' Chips,,fish_and_chips,-32.074166,115.912944,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Domino's,Domino's,pizza,-32.078729,115.857968,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Chin's Noodle House,,chinese,-32.079054,115.85705,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Sheriden's,,sandwich,-32.070795,115.89242,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Riverton Hawker,,malaysian,-32.039187,115.887546,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Mama's Fish & Chips,,fish_and_chips,-32.03937,115.887546,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Subway,Subway,sandwich,-32.058109,115.91677,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Subway,Subway,sandwich,-32.06525,115.801836,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Kardinya Kebab House,,kebab,-32.067992,115.815882,Western Australia,OpenStreetMap amenity=fast_food via Overpass
McDonald's,McDonald's,burger,-32.294418,115.763785,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Marmaris,,kebab,-32.075316,115.78125,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Bull Creek Fish Supply,,fish_and_chips,-32.057176,115.864946,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Subway,Subway,sandwich,-32.629037,115.874014,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Grill'd,Grill'd,burger,-32.02124,115.835014,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Run Amuk Hotdogs Unleashed,,hot_dog,-32.0723,115.753118,Western Australia,OpenStreetMap amenity=fast_food via Overpass
South Beach Fish & Chips,,fish_and_chips,-32.072241,115.753117,Western Australia,OpenStreetMap amenity=fast_food via Overpass
,,pizza,-33.951963,115.073956,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Pizza Hut,,,-33.651319,115.342528,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Subway,Subway,sandwich,-33.652921,115.339732,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Subway,Subway,sandwich,-32.090256,115.86949,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Tai Son Restaurant,,chinese,-32.056877,115.880001,Western Australia,OpenStreetMap amenity=fast_food via Overpass
KFC,KFC,chicken,-33.282004,115.744293,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Gogo's Bello Fresh,,indian,-32.07018,115.846251,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Domino's,Domino's,pizza,-32.049808,115.898684,Western Australia,OpenStreetMap amenity=fast_food via Overpass
,,fish_and_chips,-32.012525,115.86394,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Canning Vale Fish & Chips,,fish_and_chips,-32.09411,115.925774,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Bateman Eating House,,chinese,-32.055126,115.847375,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Lepak Kopitiam,,chinese,-32.054974,115.847367,Western Australia,OpenStreetMap amenity=fast_food via Overpass
McDonald's,McDonald's,burger,-32.309237,115.832976,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Domino's,Domino's,pizza,-33.950164,115.074145,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Subway,Subway,sandwich,-32.039504,115.904668,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Pizza Express,,pizza,-32.03951,115.904534,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Yumeno Sushi,,japanese,-32.039498,115.9048,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Kebab Lads,Kebab Lads,kebab,-32.039507,115.904599,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Spiceup Indian,,indian,-32.039501,115.904738,Western Australia,OpenStreetMap amenity=fast_food via Overpass
McDonald's,McDonald's,burger,-32.309434,115.829966,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Red Rooster,Red Rooster,chicken,-32.309332,115.830021,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Zambrero,Zambrero,mexican,-32.055318,115.747084,Western Australia,OpenStreetMap amenity=fast_food via Overpass
McDonald's,McDonald's,burger,-32.127682,115.797165,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Harvey Fish & Chips,,,-33.079931,115.893727,Western Australia,OpenStreetMap amenity=fast_food via Overpass
King's Kebab & Pizza,,kebab;pizza,-32.156443,115.861003,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Red Rooster,Red Rooster,chicken,-32.309404,115.832949,Western Australia,OpenStreetMap amenity=fast_food via Overpass
KFC,KFC,chicken,-32.147575,115.984766,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Miami Fish & Chip Shack,,fish_and_chips,-32.582007,115.661858,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Domino's,Domino's,pizza,-32.534658,115.720752,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Seascapes Fish & Chips,,fish_and_chips,-32.557291,115.676535,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Grill'd,Grill'd,burger,-32.532793,115.719749,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Mumma's Ice Cream,,,-32.531761,115.719999,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Sushi With Goons,,sushi,-32.055513,115.7479,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Fremantle Kebab House,,kebab,-32.055189,115.748154,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Hungry Jack's,Hungry Jack's,burger,-32.094067,115.783315,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Domino's,Domino's,pizza,-32.094243,115.783885,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Zambrero,Zambrero,mexican,-32.093325,115.783264,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Red Rooster,Red Rooster,chicken,-32.00365,115.760171,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Grill'd,Grill'd,burger,-32.055909,115.747571,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Grill'd,Grill'd,burger,-32.129726,115.856568,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Hungry Jack's,Hungry Jack's,burger,-32.011771,115.884282,Western Australia,OpenStreetMap amenity=fast_food via Overpass
McDonald's,McDonald's,burger,-32.011655,115.884629,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Chill Out Kiosk,,,-32.095044,115.818593,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Subway,Subway,sandwich,-32.054282,115.746507,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Smoky Grill House,,,-32.127522,115.927475,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Subway,Subway,sandwich,-32.127449,115.927483,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Pattysmiths Murdoch,,burger,-32.066255,115.83393,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Penang Hawker,,,-32.027666,115.897074,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Piscari,,,-32.06297,115.756815,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Lunch Bar,,,-33.333583,115.643096,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Central Lunch Bar,,,-33.3349,115.647457,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Di Bello's Pizza and Pasta,,pizza,-32.066333,115.833935,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Med Kebab,,kebab,-32.111002,115.839193,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Halifax Lunch Supply,,,-33.356673,115.677451,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Perky's Kitchen,,,-33.358369,115.669744,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Denning Road Lunch Supply,,,-33.339741,115.652382,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Marge's Place,,,-33.350796,115.694489,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Pappy's Burgers,,,-32.686394,115.777802,Western Australia,OpenStreetMap amenity=fast_food via Overpass
KFC,KFC,chicken,-32.686366,115.777672,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Last Slice,,pizza,-33.321745,115.637092,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Orfa Kebabs,,kebab,-33.322522,115.636691,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Nene Chicken,Nene Chicken,korean,-32.057656,115.880239,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Pepper Lunch,Pepper Lunch,teppanyaki,-32.057717,115.880259,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Mr Kebab,,,-33.650018,115.344812,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Domino's,Domino's,pizza,-33.652531,115.341835,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Thai Lemongrass,,,-33.652519,115.341926,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Busselton Thai,,,-33.649198,115.344168,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Two Groupers Busselton,,fish_and_chips,-33.648365,115.344267,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Mondo Fresco,,,-32.038994,115.905646,Western Australia,OpenStreetMap amenity=fast_food via Overpass
KFC,KFC,chicken,-32.27808,115.731214,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Woodies Shop/Cafe,,,-32.13657,115.763417,Western Australia,OpenStreetMap amenity=fast_food via Overpass
McDonald's,McDonald's,burger,-32.20738,115.978512,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Domino's,Domino's,pizza,-32.045509,115.8185,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Singleton Takeaways,,,-32.439003,115.754521,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Pizza Hut Express,Pizza Hut,pizza,-32.056803,115.962919,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Domino's,Domino's,pizza,-32.332232,115.817514,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Chicken Treat,Chicken Treat,chicken,-32.090165,115.942011,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Subway,Subway,sandwich,-32.070082,115.846251,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Lettuce Eat,,,-32.070133,115.846251,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Wasabi Monkey,,juice,-32.070313,115.846672,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Crust,Crust,pizza,-32.090198,115.942901,Western Australia,OpenStreetMap amenity=fast_food via Overpass
CHIK’n’SHAK,,,-33.080381,115.894672,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Coolbellup Fish and Chips,,fish_and_chips,-32.08234,115.807418,Western Australia,OpenStreetMap amenity=fast_food via Overpass
,,chinese,-32.082633,115.807677,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Sealanes Fish & Chips,,fish_and_chips,-32.073051,115.752135,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Roll'd,Roll'd,vietnamese,-32.054869,115.748902,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Sushi and Sandwich Bar,,sandwich,-32.052839,115.747901,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Jesters,Jesters,pie,-32.006517,115.758261,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Domino's,Domino's,pizza,-32.006566,115.758235,Western Australia,OpenStreetMap amenity=fast_food via Overpass
CRU Health + Juice Bar,,juice,-32.102255,115.76207,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Slurp On Victoria Street,,juice,-33.325551,115.636819,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Grill'd,Grill'd,burger,-32.020055,115.93862,Western Australia,OpenStreetMap amenity=fast_food via Overpass
,,kebab,-32.058738,115.831187,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Angry Chicken,,chicken,-32.049516,115.794586,Western Australia,OpenStreetMap amenity=fast_food via Overpass
JM Burger,,burger,-32.049527,115.794367,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Hungry Jack's,Hungry Jack's,burger,-32.045616,115.817796,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Mekan,,kebab,-32.045704,115.818612,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Zambrero,Zambrero,mexican,-32.045699,115.818779,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Subway,Subway,sandwich,-32.045625,115.817579,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Melvile Fish & Chips,,fish_and_chips,-32.043098,115.800601,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Crust,Crust,pizza,-32.063578,115.772463,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Subway,Subway,sandwich,-32.035244,115.790518,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Blendcraft,,juice,-32.034065,115.791691,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Melville Kebab House,,kebab,-32.034275,115.791462,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Pasta Cup,,,-32.035252,115.790478,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Tankk,,fish_and_chips,-32.033676,115.791918,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Forno Antico Pizzeria,,italian_pizza;italian,-32.079693,115.761632,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Subway,Subway,sandwich,-32.01975,115.835349,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Chimek,,chicken,-32.021899,115.832273,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Domino's,Domino's,pizza,-32.021348,115.834178,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Applecross Pizza,,pizza,-32.019804,115.835379,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Jesters,Jesters,pie,-32.056903,115.864328,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Long Paddock Burger Co.,,burger,-32.027423,115.7954,Western Australia,OpenStreetMap amenity=fast_food via Overpass
DJ's Willagee Lunch Bar,,,-32.052979,115.806304,Western Australia,OpenStreetMap amenity=fast_food via Overpass
,,fish_and_chips,-32.052984,115.806481,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Red Rooster,Red Rooster,chicken,-32.047178,115.794143,Western Australia,OpenStreetMap amenity=fast_food via Overpass
Johnny's Burger's,,,-32.090454,115.941358,Western Australia,OpenStreetMap amenity=fast_food via Overpass
